data,Chegadas
2008-05-01,284928.0
2008-06-01,300029.0
2008-07-01,400763.0
2008-08-01,384670.0
2008-09-01,320722.0
2008-10-01,335914.0
2008-11-01,367910.0
2008-12-01,450088.0
2009-01-01,764468.0
2009-02-01,553758.0
2009-03-01,485572.0
2009-04-01,384682.0
2009-05-01,273186.0
2009-06-01,248456.0
2009-07-01,299564.0
2009-08-01,338662.0
2009-09-01,318889.0
2009-10-01,359851.0
2009-11-01,388852.0
2009-12-01,386277.0
2010-01-01,687968.0
2010-02-01,631655.0
2010-03-01,531352.0
2010-04-01,336904.0
2010-05-01,298459.0
2010-06-01,295205.0
2010-07-01,348485.0
2010-08-01,383661.0
2010-09-01,330083.0
2010-10-01,383083.0
2010-11-01,418421.0
2010-12-01,516103.0
2011-01-01,684469.0
2011-02-01,579600.0
2011-03-01,503234.0
2011-04-01,438939.0
2011-05-01,345517.0
2011-06-01,309905.0
2011-07-01,386843.0
2011-08-01,384663.0
2011-09-01,345535.0
2011-10-01,412373.0
2011-11-01,481284.0
2011-12-01,560992.0
2012-01-01,749555.0
2012-02-01,569706.0
2012-03-01,584163.0
2012-04-01,422254.0
2012-05-01,345194.0
2012-06-01,342201.0
2012-07-01,410667.0
2012-08-01,397683.0
2012-09-01,378394.0
2012-10-01,425085.0
2012-11-01,467584.0
2012-12-01,584357.0
2013-01-01,758573.0
2013-02-01,548577.0
2013-03-01,650651.0
2013-04-01,407970.0
2013-05-01,348137.0
2013-06-01,350025.0
2013-07-01,534130.0
2013-08-01,407349.0
2013-09-01,286228.0
2013-10-01,455918.0
2013-11-01,479527.0
2013-12-01,586257.0
2014-01-01,580616.0
2014-02-01,535096.0
2014-03-01,329779.0
2014-04-01,389943.0
2014-05-01,349819.0
2014-06-01,1018876.0
2014-07-01,717769.0
2014-08-01,401094.0
2014-09-01,373555.0
2014-10-01,414408.0
2014-11-01,467114.0
2014-12-01,851783.0
2015-01-01,915056.0
2015-02-01,719513.0
2015-03-01,619939.0
2015-04-01,414084.0
2015-05-01,372818.0
2015-06-01,350156.0
2015-07-01,454624.0
2015-08-01,366300.0
2015-09-01,243336.0
2015-10-01,491491.0
2015-11-01,573959.0
2015-12-01,784562.0
2016-01-01,1084359.0
2016-02-01,808533.0
2016-03-01,625098.0
2016-04-01,398071.0
2016-05-01,345264.0
2016-06-01,355441.0
2016-07-01,472342.0
2016-08-01,537727.0
2016-09-01,418981.0
2016-10-01,439357.0
2016-11-01,451920.0
2016-12-01,609603.0
2017-01-01,1107628.0
2017-02-01,863252.0
2017-03-01,563667.0
2017-04-01,462810.0
2017-05-01,349843.0
2017-06-01,319853.0
2017-07-01,477118.0
2017-08-01,410100.0
2017-09-01,419239.0
2017-10-01,440087.0
2017-11-01,494460.0
2017-12-01,680713.0
